#==========================================
# DAT-FILE for the MCM + C3.0m mechanism
# to be computed by SPACCIM
# Extended by the automated output
# from FSGv1.1 within GECKO-A
# created: 2012-10-16, 14:43
#==========================================                                                                             
   BEGIN_DATAGAS                                                                                                        
#===  ONLY 120 Characters per Line                                                                                      
#------------------------------------------                                                                             
#  Name                                                                                        MolMass  Alpha Dg        
#                                                                                              [g/mol]                  
#                                                                                                                       
OCC(O)C(=O)C=O                                                                                   118.1  0.10  0.00000816
CC(O)C(=O)C=O                                                                                    102.1  0.10  0.00000848
OCC(=O)C(O)C=O                                                                                   118.1  0.10  0.00000816
O=CCC(=O)C=O                                                                                     100.1  0.10  0.00000865
O=CCC(O)C=O                                                                                      102.1  0.10  0.00000848
OCC(O)CC(=O)O                                                                                    120.1  0.10  0.00000801
OCCC(O)C(=O)O                                                                                    120.1  0.10  0.00000801
CC(O)CC(=O)O                                                                                     104.1  0.10  0.00000832
OCC(=O)CC(=O)O                                                                                   118.1  0.10  0.00000816
OCCC(=O)C(=O)O                                                                                   118.1  0.10  0.00000816
CC(=O)CC(=O)O                                                                                    102.1  0.10  0.00000848
O=C(O)CCC=O                                                                                      102.1  0.10  0.00000848
CC(O)C(=O)C(O)O                                                                                  120.1  0.10  0.00000801
CC(=O)C(O)C(O)O                                                                                  120.1  0.10  0.00000801
OCC(=O)C(=O)C(O)O                                                                                134.1  0.10  0.00000788
CC(=O)C(=O)C(O)O                                                                                 118.1  0.10  0.00000816
CC(O)C(O)(O)C=O                                                                                  120.1  0.10  0.00000801
OC(O)CC(O)C=O                                                                                    120.1  0.10  0.00000801
OC(O)C(O)CC=O                                                                                    120.1  0.10  0.00000801
CC(O)(O)C(=O)C=O                                                                                 118.1  0.10  0.00000816
OCC(=O)C(O)(O)C=O                                                                                134.1  0.10  0.00000788
CC(=O)C(O)(O)C=O                                                                                 118.1  0.10  0.00000816
OCC(O)(O)C(=O)C=O                                                                                134.1  0.10  0.00000788
OC(O)CC(=O)C=O                                                                                   118.1  0.10  0.00000816
OC(O)C(=O)CC=O                                                                                   118.1  0.10  0.00000816
O=CC(=O)C(=O)C=O                                                                                 114.1  0.10  0.00000847
CCC(O)(O)C(=O)O                                                                                  120.1  0.10  0.00000801
OC(O)CCC(=O)O                                                                                    120.1  0.10  0.00000801
OCC(O)C(O)C(=O)O                                                                                 136.1  0.10  0.00000775
CC(O)C(O)C(=O)O                                                                                  120.1  0.10  0.00000801
OCC(=O)C(O)C(=O)O                                                                                134.1  0.10  0.00000788
CC(O)C(=O)C(=O)O                                                                                 118.1  0.10  0.00000816
OCC(O)C(=O)C(=O)O                                                                                134.1  0.10  0.00000788
CC(=O)C(O)C(=O)O                                                                                 118.1  0.10  0.00000816
OCC(=O)C(=O)C(=O)O                                                                               132.1  0.10  0.00000802
CC(=O)C(=O)C(=O)O                                                                                116.1  0.10  0.00000831
O=C(O)C(O)CC=O                                                                                   118.1  0.10  0.00000816
O=C(O)CC(O)C=O                                                                                   118.1  0.10  0.00000816
O=C(O)C(=O)CC=O                                                                                  116.1  0.10  0.00000831
O=C(O)CC(=O)C=O                                                                                  116.1  0.10  0.00000831
CC(O)(O)C=O                                                                                       90.1  0.10  0.00000931
OC(O)C(=O)C(=O)C=O                                                                               132.1  0.10  0.00000802
OC(O)C(O)C(=O)C=O                                                                                134.1  0.10  0.00000788
OC(O)C(=O)C(O)C=O                                                                                134.1  0.10  0.00000788
O=CC(O)(O)C(=O)C=O                                                                               132.1  0.10  0.00000802
O=CC(O)C(O)(O)C=O                                                                                134.1  0.10  0.00000788
O=CC(O)(O)C(O)(O)C=O                                                                             150.1  0.10  0.00000764
CC(O)C(O)(O)C(=O)O                                                                               136.1  0.10  0.00000775
CC(O)(O)C(O)C(=O)O                                                                               136.1  0.10  0.00000775
CC(O)(O)C(=O)C(=O)O                                                                              134.1  0.10  0.00000788
OC(O)CC(=O)C(=O)O                                                                                134.1  0.10  0.00000788
OC(O)C(=O)CC(=O)O                                                                                134.1  0.10  0.00000788
