#==========================================
# DAT-FILE for the MCM + CAPRAM mechanism
# to be computed by SPACCIM
# Extended by the automated output
# from FSGv1.1 within GECKO-A
# created: 2013-10-27, 12:34
#==========================================                                                                             
   BEGIN_DATAGAS                                                                                                        
#===  ONLY 120 Characters per Line                                                                                      
#------------------------------------------                                                                             
#  Name                                                                                        MolMass  Alpha Dg        
#                                                                                              [g/mol]                  
#                                                                                                                       
O=C(O)C(O)C(O)CON(=O)=O                                                                          181.1  0.10  0.00000685
O=C(O)C(O)C(O)C(=O)ON(=O)=O                                                                      195.1  0.10  0.00000678
O=C(O)C(O)C(=O)C(=O)ON(=O)=O                                                                     193.1  0.10  0.00000688
O=C(O)C(O)C(=O)C(O)ON(=O)=O                                                                      195.1  0.10  0.00000678
OC=C                                                                                              44.1  0.10  0.00001220
OCC(=O)C=C                                                                                        86.1  0.10  0.00000847
OCC(=O)C(=O)CON(=O)=O                                                                            163.1  0.10  0.00000714
OCC(=O)C(O)CON(=O)=O                                                                             165.1  0.10  0.00000703
OCC(=O)C(O)C(O)ON(=O)=O                                                                          181.1  0.10  0.00000685
OCC(=O)C(O)C(=O)ON(=O)=O                                                                         179.1  0.10  0.00000695
OCC(=O)C(=O)C(O)ON(=O)=O                                                                         179.1  0.10  0.00000695
OCC(=O)C(=O)C(=O)ON(=O)=O                                                                        177.1  0.10  0.00000706
OCC(O)C=C                                                                                         88.1  0.10  0.00000829
OCC(O)C(=O)CON(=O)=O                                                                             165.1  0.10  0.00000703
OCC(O)C(O)CON(=O)=O                                                                              167.1  0.10  0.00000693
OCC(O)C(O)C(=O)ON(=O)=O                                                                          181.1  0.10  0.00000685
OCC(O)C(=O)C(O)ON(=O)=O                                                                          181.1  0.10  0.00000685
OCC(O)C(=O)C(=O)ON(=O)=O                                                                         179.1  0.10  0.00000695
OCC=C                                                                                             58.1  0.10  0.00001007
OCC(O)CON(=O)=O                                                                                  137.1  0.10  0.00000779
OCC(O)C(O)ON(=O)=O                                                                               153.1  0.10  0.00000754
OCC(O)C(=O)ON(=O)=O                                                                              151.1  0.10  0.00000768
OCC=CC(=O)O                                                                                      102.1  0.10  0.00000809
OCC(O)ON(=O)=O                                                                                   123.1  0.10  0.00000868
OCC(ON(=O)=O)C=O                                                                                 135.1  0.10  0.00000794
OCC(O)C(ON(=O)=O)C(=O)O                                                                          181.1  0.10  0.00000685
OCC(=O)C(ON(=O)=O)C(=O)O                                                                         179.1  0.10  0.00000695
OCC(ON(=O)=O)C(=O)C(=O)O                                                                         179.1  0.10  0.00000695
OCC(ON(=O)=O)C(O)C(=O)O                                                                          181.1  0.10  0.00000685
OCC(ON(=O)=O)C(=O)O                                                                              151.1  0.10  0.00000768
OCC=CC=O                                                                                          86.1  0.10  0.00000847
OCC(ON(=O)=O)C(O)C=O                                                                             165.1  0.10  0.00000703
OCC(O)C(ON(=O)=O)C=O                                                                             165.1  0.10  0.00000703
OCC(=O)C(ON(=O)=O)C=O                                                                            163.1  0.10  0.00000714
OCC(ON(=O)=O)C(=O)C=O                                                                            163.1  0.10  0.00000714
OCC=CCO                                                                                           88.1  0.10  0.00000829
OCC(O)C(ON(=O)=O)CO                                                                              167.1  0.10  0.00000693
OCC(=O)C(ON(=O)=O)CO                                                                             165.1  0.10  0.00000703
O=C(O)C(=O)O                                                                                      90.0  0.10  0.00000994
CC(O)CO                                                                                           76.1  0.10  0.00000916
OCCCO                                                                                             76.1  0.10  0.00000916
OCCC=O                                                                                            74.1  0.10  0.00000940
OCC(O)CO                                                                                          92.1  0.10  0.00000869
OCC(=O)CO                                                                                         90.1  0.10  0.00000889
CC(O)C=O                                                                                          74.1  0.10  0.00000940
OCC(O)C=O                                                                                         90.1  0.10  0.00000889
OCC(=O)C=O                                                                                        88.1  0.10  0.00000911
O=CCC=O                                                                                           72.1  0.10  0.00000965
OCCC(=O)O                                                                                         90.1  0.10  0.00000889
O=CC(=O)C=O                                                                                       86.0  0.10  0.00000934
O=CC(O)C=O                                                                                        88.1  0.10  0.00000911
OCC(O)C(=O)O                                                                                     106.1  0.10  0.00000849
CC(O)C(=O)O                                                                                       90.1  0.10  0.00000889
O=C(O)C(O)C=O                                                                                    104.1  0.10  0.00000868
O=C(O)C(=O)C=O                                                                                   102.0  0.10  0.00000888
O=C(O)C(O)C(=O)O                                                                                 120.1  0.10  0.00000832
O=C(O)CC(=O)O                                                                                    104.1  0.10  0.00000868
O=C(O)CCC(=O)O                                                                                   118.1  0.10  0.00000779
O=C(O)CC(=O)C(=O)O                                                                               132.1  0.10  0.00000766
O=C(O)CC(O)C(=O)O                                                                                134.1  0.10  0.00000752
O=C(O)C(O)C(O)C(=O)O                                                                             150.1  0.10  0.00000729
O=C(O)C(O)C(=O)C(=O)O                                                                            148.1  0.10  0.00000741
CCC(O)CO                                                                                          90.1  0.10  0.00000813
CC(O)CCO                                                                                          90.1  0.10  0.00000813
OCCCCO                                                                                            90.1  0.10  0.00000813
CCC(=O)CO                                                                                         88.1  0.10  0.00000829
CC(=O)CCO                                                                                         88.1  0.10  0.00000829
OCCCC=O                                                                                           88.1  0.10  0.00000829
CC(O)C(O)CO                                                                                      106.1  0.10  0.00000779
OCCC(O)CO                                                                                        106.1  0.10  0.00000779
OCCC(=O)CO                                                                                       104.1  0.10  0.00000794
CC(O)C(=O)CO                                                                                     104.1  0.10  0.00000794
CC(=O)C(O)CO                                                                                     104.1  0.10  0.00000794
CC(=O)C(=O)CO                                                                                    102.1  0.10  0.00000809
CC(O)CC=O                                                                                         88.1  0.10  0.00000829
OCCC(O)C=O                                                                                       104.1  0.10  0.00000794
CCC(O)C=O                                                                                         88.1  0.10  0.00000829
OCC(O)CC=O                                                                                       104.1  0.10  0.00000794
CC(=O)CC=O                                                                                        86.1  0.10  0.00000847
OCCC(=O)C=O                                                                                      102.1  0.10  0.00000809
CCC(=O)C=O                                                                                        86.1  0.10  0.00000847
OCC(=O)CC=O                                                                                      102.1  0.10  0.00000809
O=CCCC=O                                                                                          86.1  0.10  0.00000847
OCCCC(=O)O                                                                                       104.1  0.10  0.00000794
OCC(O)C(=O)CO                                                                                    120.1  0.10  0.00000765
OCC(=O)C(=O)CO                                                                                   118.1  0.10  0.00000779
CC(O)C(O)C=O                                                                                     104.1  0.10  0.00000794
OCC(O)C(O)C=O                                                                                    120.1  0.10  0.00000765
CC(=O)C(=O)C=O                                                                                   100.1  0.10  0.00000826
CC(=O)C(O)C=O                                                                                    102.1  0.10  0.00000809
OCC(O)C(=O)C=O                                                                                   118.1  0.10  0.00000779
CC(O)C(=O)C=O                                                                                    102.1  0.10  0.00000809
OCC(=O)C(O)C=O                                                                                   118.1  0.10  0.00000779
O=CCC(=O)C=O                                                                                     100.1  0.10  0.00000826
O=CCC(O)C=O                                                                                      102.1  0.10  0.00000809
OCC(O)CC(=O)O                                                                                    120.1  0.10  0.00000765
OCCC(O)C(=O)O                                                                                    120.1  0.10  0.00000765
CC(O)CC(=O)O                                                                                     104.1  0.10  0.00000794
OCC(=O)CC(=O)O                                                                                   118.1  0.10  0.00000779
