#==========================================
   BEGIN_DATAGAS
#===  ONLY 120 Characters per Line
#------------------------------------------             
#  Name          MolMass  Alpha         Dg 
#                [g/mol]
#
HOCCL2CHCLOH     165.5    0.0           0.0
HOCHCLCCL2O2     180.5    0.0           0.0
HOCL              52.5    0.5           0.0000151
HOI              144.0    0.5           0.0000108
HONO              47.0    0.05          0.000013
I                127.0    0.05          0.0000116
I2               254.0    0.0126        0.0000086
I2O2             286.0    0.123         0.000008
IBR              207.0    0.0126        0.0000088
ICH2CH2O         171.0    0.0           0.0
ICH2CH2O2        187.0    0.0           0.0
ICH2CH2OH        172.0    0.0           0.0
ICH2CHO          170.0    0.0           0.0
ICH2CO3          201.0    0.019         0.000008
ICH2CO3H         202.0    0.0           0.0
ICH2COOH         186.0    3.22e-2       0.0000082
ICH2O            157.0    0.0           0.0
ICH2O2           173.0    0.0           0.0
ICH2O2H          174.0    0.0           0.0
ICH2OH           158.0    0.0           0.0
ICHO             156.0    0.02          0.0000096
ICL              162.5    0.0126        0.0000098
ICO              155.0    0.0           0.0
INO              157.0    0.0           0.0
INO2             173.0    0.123         0.0000099
INO3             189.0    0.123         0.0000096
IO               143.0    0.558         0.000011
ISO               68.0    0.0           0.0
ISOPX            117.0    0.0           0.0
KET               72.0    0.0           0.0
CH3COCH3          58.0    5.4e-3        0.0000100
CH3CH2COCH3       72.0    0.01          0.0000100
CH3COCH2CHCH32   100.16   0.01          0.0000075
KETPX            103.0    0.0           0.0
LIMN             136.0    0.0           0.0
LIMPX            185.0    0.0           0.0
MACR              70.0    0.0           0.0
MGLY              72.0    0.03          0.0000095
MO2               47.0    6.7581e-3     0.0000135
N2O5             108.0    0.018         0.000011
NH3               17.0    0.091         0.000023
NO                30.0    0.001         0.0000224
NO2               46.0    1.5e-3        0.0000192
NO3               62.0    4.2e-3        0.00001
O1D               16.0    0.0           0.0
O2CHBRPAN        219.0    0.0           0.0
O2CHCLPAN        174.5    0.0           0.0
O2CHIPAN         265.0    0.0           0.0
O3                48.0    0.1           0.0000148
O3PX              16.0    0.0           0.0
OBRO             112.0    0.0           0.0
OCLO              67.5    0.0           0.0
OIO              159.0    1.0           0.0000104
OLI               68.0    0.0           0.0
OLIPX            117.0    0.0           0.0
OLND             136.0    0.0           0.0
OLNN             136.0    0.0           0.0
OLT               42.0    0.0           0.0
C3H6              42.0    0.0           0.0
OLTPX             91.0    0.0           0.0
ONIT             119.0    0.0           0.0
OP1               48.0    6.7581e-3     0.0000131
OP2               62.0    0.01          0.0000076
ORA1              46.0    2.29e-2       0.0000153
ORA2              60.0    3.22e-2       0.0000124
CH3COOH           60.0    3.22e-2       0.0000124
CH3CH2COOH        74.0    3.22e-2       0.0000093
CH3CH2CH2COOH     88.0    0.03          0.0000082
PAA               76.0    1.9e-2        0.0000102
PAN              121.0    0.019         0.0000063
PCE              166.0    0.0           0.0
PHO              107.0    0.0           0.0
SO2               64.0    0.11          0.0000128
SULF              98.0    0.12          0.000013
TCE              131.5    0.0           0.0
TCO3             115.0    0.0           0.0
TOL               92.0    0.0           0.0
TOLPX            141.0    0.0           0.0
TPAN             147.0    0.0           0.0
UDD              119.0    0.0           0.0
XO2               32.0    0.0           0.0
XYL              106.0    0.0           0.0
XYLPX            155.0    0.0           0.0 
C2H5OCHO          74.08   0.01          0.0000093
CH2CH2CH2CONCH3   99.13   0.01          0.0000082
OHCCH2OH          60.0    0.040         0.000011 
MVK               70.0    0.0           0.0
CAR4              94.6    0.0           0.0
ISON             146.0    0.0           0.0
ISHPX            150.0    0.0           0.0
MACRPX           119.0    0.0           0.0
NALD             105.0    0.0           0.0
MAHPX            152.0    0.0           0.0
MVKPX            119.0    0.0           0.0
MPAN             165.0    0.0           0.0
ISON             130.0    0.0           0.0
CSC               62.0    1.0e-3        0.0000108
CS(=O)C           78.0    0.1           0.0000101 
CS(=O)(=O)C       94.0    0.1           0.00000955
CS(=O)O           80.0    0.1           0.0000111 
CS(=O)(=O)O       96.0    0.1           0.0000104 
[O2]              32.0    0.1           0.0000112
[N2]              28.0    0.0           0.0
[H2O]             18.0    0.0           0.0    
   END_DATAGAS

   BEGIN_DATARO2                                                                                                        
 nRO2:  942                                                                                                             
 OCCO[O]                                                                                                                
 CC(O[O])CO                                                                                                             
 OCCCO[O]                                                                                                               
 CC(O)CO[O]                                                                                                             
 CCC(O[O])CO                                                                                                            
 CC(O[O])CCO                                                                                                            
 CC(O)C(O[O])C                                                                                                          
 CC(O[O])(C)CO                                                                                                          
 CC(CO)CO[O]                                                                                                            
 CC(O)(C)CO[O]                                                                                                          
 CCC(O)C(O[O])C                                                                                                         
 CCC(O)CCO[O]                                                                                                           
 CCC(O[O])(C)CO                                                                                                         
 CC(O[O])C(C)CO                                                                                                         
 CC(O[O])(C)CCO                                                                                                         
 CC(C)C(O[O])CO                                                                                                         
 CC(O[O])C(O)(C)C                                                                                                       
 CCC(O)(C)CO[O]                                                                                                         
 CC(O)(C)CCO[O]                                                                                                         
 CC(O)C(O[O])(C)C                                                                                                       
 CC(O)C(C)CO[O]                                                                                                         
 C1CC(O)C(O[O])CC1                                                                                                      
 CC(=O)C(O[O])C(O)(C)C                                                                                                  
 CC(=O)CC(O)(C)CO[O]                                                                                                    
 CC(O)(C)CC(=O)CO[O]                                                                                                    
 CC(=O)O[O]                                                                                                             
 CC(O)(C)C(O[O])CO                                                                                                      
 CC(O)(C)C(O)CO[O]                                                                                                      
 CC(O)(C)C(O[O])CON(=O)(=O)                                                                                             
 CC(O)(C)C(ON(=O)=O)CO[O]                                                                                               
 CO[O]                                                                                                                  
 CCC(=O)O[O]                                                                                                            
 CCO[O]                                                                                                                 
 CC(O[O])CC=O                                                                                                           
 CCCC(=O)O[O]                                                                                                           
 CCCO[O]                                                                                                                
 CC(C=O)CO[O]                                                                                                           
 CC(O[O])(C)C=O                                                                                                         
 CC(C)C(=O)O[O]                                                                                                         
 CC(O[O])C                                                                                                              
 CCC(O[O])CC=O                                                                                                          
 CCCCC(=O)O[O]                                                                                                          
 CCCCO[O]                                                                                                               
 CCC(O[O])C                                                                                                             
 CC(C)CO[O]                                                                                                             
 CC(O[O])(C)C                                                                                                           
 CCCCCO[O]                                                                                                              
 CCCC(O[O])C                                                                                                            
 CCC(O[O])CC                                                                                                            
 CCC(C)CO[O]                                                                                                            
 CC(O[O])C(C)C                                                                                                          
 CCC(O[O])(C)C                                                                                                          
 CC(C)(C)CO[O]                                                                                                          
 CCCCCCO[O]                                                                                                             
 CCCCC(O[O])C                                                                                                           
 CCCC(O[O])CC                                                                                                           
 CCCC(C)CO[O]                                                                                                           
 CC(O[O])CC(C)C                                                                                                         
 CCC(O[O])C(C)C                                                                                                         
 CCCC(O[O])(C)C                                                                                                         
 CCC(C)CCO[O]                                                                                                           
 CC(O[O])C(C)CC                                                                                                         
 CCC(O[O])(C)CC                                                                                                         
 CC(C)(C)CCO[O]                                                                                                         
 CCC(C)(C)CO[O]                                                                                                         
 CC(O[O])C(C)(C)C                                                                                                       
 CC(C)C(C)CO[O]                                                                                                         
 CC(O[O])(C)C(C)C                                                                                                       
 CCCCC(O[O])CC                                                                                                          
 CC(O[O])CCC(C)C                                                                                                        
 CCCCC(O[O])(C)C                                                                                                        
 CC(O[O])CC(C)CC                                                                                                        
 CCCC(O[O])(C)CC                                                                                                        
 CCCCCC(O[O])CC                                                                                                         
 CCCCCCC(O[O])CC                                                                                                        
 CCCCCCCC(O[O])CC                                                                                                       
 CCCCCCCCC(O[O])CC                                                                                                      
 CCCCCCCCCC(O[O])CC                                                                                                     
 C1CCC(O[O])CC1                                                                                                         
 O=N(=O)OCCO[O]                                                                                                         
 CC(O[O])CON(=O)(=O)                                                                                                    
 CC(ON(=O)=O)CO[O]                                                                                                      
 CCC(O)CO[O]                                                                                                            
 CCC(O[O])CON(=O)(=O)                                                                                                   
 CCC(ON(=O)=O)CO[O]                                                                                                     
 CC(ON(=O)=O)C(O[O])C                                                                                                   
 CC(O[O])(C)CON(=O)(=O)                                                                                                 
 CC(ON(=O)=O)(C)CO[O]                                                                                                   
 CCCC(O[O])CO                                                                                                           
 CCCC(O)CO[O]                                                                                                           
 CCCC(O[O])CON(=O)(=O)                                                                                                  
 CCCC(ON(=O)=O)CO[O]                                                                                                    
 CC(O)C(O[O])CC                                                                                                         
 CC(ON(=O)=O)C(O[O])CC                                                                                                  
 CCC(ON(=O)=O)C(O[O])C                                                                                                  
 CCC(O[O])(C)CON(=O)(=O)                                                                                                
 CCC(ON(=O)=O)(C)CO[O]                                                                                                  
 CC(C)C(O)CO[O]                                                                                                         
 CC(C)C(O[O])CON(=O)(=O)                                                                                                
 CC(C)C(ON(=O)=O)CO[O]                                                                                                  
 [O-][O+]CC(C)C*a                                                                                                       
 CC(ON(=O)=O)C(O[O])(C)C                                                                                                
 CC(O[O])C(ON(=O)=O)(C)C                                                                                                
 CCCCC(O)CO[O]                                                                                                          
 CCCCC(O[O])CO                                                                                                          
 CCCCC(ON(=O)=O)CO[O]                                                                                                   
 CCCCC(O[O])CON(=O)(=O)                                                                                                 
 CCCC(O[O])C(O)C                                                                                                        
 CCCC(O)C(O[O])C                                                                                                        
 CC(ON(=O)=O)C(O[O])CCC                                                                                                 
 CCCC(ON(=O)=O)C(O[O])C                                                                                                 
 CC(O[O])(C)C(O)(C)C                                                                                                    
 CC(ON(=O)=O)(C)C(O[O])(C)C                                                                                             
